filter_type,filter_value
tag,Urban
tag,Vaccination
tag,Value Addition In Crops
tag,Vegetable
tag,Vegetable Crop
tag,Vegetable Crops
tag,Vegetable Cultivation
tag,Vegetable Farming
tag,Vegetable Grower
tag,Vegetable Processing
tag,Vegetable Production
tag,Vegetable Seed
tag,Vegetables
tag,Vehicle
tag,Vendor
tag,Veterinarian
tag,Veterinary
tag,Vidya Niketan
tag,Village
tag,Village Profiling
tag,Villager
tag,Vimukta Jatis And Nomadic Tribes
tag,Vocational Training
tag,Walk In Tunnel
tag,Warehouse Godowns
tag,Water
tag,Water Carrying Pipeline
tag,Water Conservation
tag,Water Distribution
tag,Water Drinkers
tag,Water Harvesting
tag,Water Management
tag,Water Resources
tag,Water Shortage
tag,Water Source
tag,Water Tank
tag,Waters
tag,Watershed
tag,Weaker Section
tag,Welfare
tag,Whale
tag,Wheat
tag,Widow
tag,Wild Animal
tag,Wildlife
tag,Wire Fencing
tag,Wire Mash
tag,Woman
tag,Women
tag,Women Empowerment
tag,Wood
tag,Youth
tag,Youth Entrepreneur
tag,Youth Productivity
tag,Zero Interest
schemeFor,Family
schemeFor,Individual
schemeFor,Infra
